Date,Open,High,Low,Close,Adj Close,Volume
2020-11-18,135.949997,136.509995,132.970001,133.229996,130.967499,2359100
2020-11-19,131.660004,136.229996,131.500000,136.169998,133.857574,2473900
2020-11-20,136.619995,136.910004,134.679993,134.880005,132.589493,2295000
2020-11-23,135.279999,137.339996,135.179993,137.070007,134.742294,2881900
2020-11-24,137.690002,137.919998,132.839996,136.889999,134.565338,4677800
2020-11-25,136.610001,137.949997,134.960007,135.949997,133.641296,2040200
2020-11-27,138.119995,138.550003,137.240005,137.750000,135.410736,1305700
2020-11-30,137.649994,139.320007,137.100006,139.080002,136.718155,3010400
2020-12-01,140.000000,141.910004,138.809998,140.729996,138.340134,3161000
2020-12-02,140.710007,141.639999,140.070007,140.660004,138.271317,2193000
2020-12-03,140.580002,141.419998,139.330002,139.750000,137.985001,1734100
2020-12-04,139.750000,144.139999,139.210007,143.970001,142.151688,3349100
2020-12-07,144.679993,144.679993,142.500000,143.710007,141.894989,1734400
2020-12-08,143.250000,146.309998,143.210007,146.130005,144.284409,2837400
2020-12-09,145.399994,146.309998,140.910004,141.779999,139.989349,3019500
2020-12-10,140.570007,142.669998,140.139999,141.279999,139.495651,2704300
2020-12-11,140.039993,142.059998,139.490005,141.149994,139.367294,3216000
2020-12-14,142.059998,143.929993,141.660004,142.330002,140.532410,2214400
2020-12-15,145.259995,145.259995,143.490005,144.059998,142.240555,2554500
2020-12-16,144.759995,144.759995,141.570007,142.800003,140.996475,1583100
2020-12-17,143.550003,143.869995,142.610001,143.779999,141.964096,2354200
2020-12-18,144.380005,145.000000,143.440002,144.559998,142.734238,4230700
2020-12-21,141.729996,143.389999,141.309998,142.589996,140.789108,1827200
2020-12-22,142.729996,144.679993,142.669998,144.279999,142.457764,2161600
2020-12-23,144.800003,145.619995,143.080002,143.220001,141.411163,2200900
2020-12-24,144.110001,144.479996,143.009995,144.470001,142.645370,466400
2020-12-28,146.410004,147.479996,144.440002,144.679993,142.852722,1630800
2020-12-29,145.179993,145.240005,142.740005,143.660004,141.845612,1130900
2020-12-30,144.649994,146.610001,144.500000,146.179993,144.333771,1138800
2020-12-31,146.500000,147.830002,145.699997,147.729996,145.864197,1626800
2021-01-04,148.449997,150.539993,144.619995,146.020004,144.175797,2496600
2021-01-05,145.770004,148.669998,145.139999,148.630005,146.752838,1513700
2021-01-06,147.729996,152.289993,147.110001,149.300003,147.414383,2498200
2021-01-07,151.830002,156.210007,151.139999,155.610001,153.644669,2661100
2021-01-08,156.020004,159.809998,155.820007,156.740005,154.760422,4204900
2021-01-11,156.130005,159.199997,155.009995,158.300003,156.300705,2609400
2021-01-12,157.009995,159.339996,156.520004,159.089996,157.080719,2573800
2021-01-13,160.000000,161.779999,158.149994,158.479996,156.478439,2622900
2021-01-14,159.179993,160.820007,159.179993,159.460007,157.446060,2028100
2021-01-15,158.029999,159.059998,155.529999,157.750000,155.757645,2338000
2021-01-19,158.460007,160.970001,158.300003,160.539993,158.512421,2992100
2021-01-20,161.429993,162.979996,159.580002,159.830002,157.811386,2296100
2021-01-21,160.610001,160.929993,157.559998,159.289993,157.278183,2469500
2021-01-22,157.729996,158.940002,155.419998,155.580002,153.615051,3147200
2021-01-25,157.000000,157.289993,152.490005,153.720001,151.778534,3697100
2021-01-26,153.929993,155.529999,152.029999,154.940002,152.983139,2329100
2021-01-27,151.089996,152.820007,146.750000,147.479996,145.617355,5644400
2021-01-28,150.369995,151.860001,148.449997,149.210007,147.325516,4352000
2021-01-29,148.580002,149.529999,146.649994,147.330002,145.469254,3512700
2021-02-01,148.339996,152.259995,147.320007,151.880005,149.961792,2958500
2021-02-02,153.020004,154.250000,150.990005,151.869995,149.951920,2536500
2021-02-03,152.000000,152.410004,147.460007,147.580002,145.716095,2703600
2021-02-04,147.830002,150.649994,147.000000,150.520004,148.618973,2027600
2021-02-05,151.720001,151.929993,148.610001,148.759995,146.881180,2169300
2021-02-08,150.160004,153.300003,148.759995,153.199997,151.265106,2295700
2021-02-09,152.699997,153.509995,151.729996,152.850006,150.919540,1689300
2021-02-10,154.699997,154.789993,151.600006,153.229996,151.294724,1761800
