Date,MSFT,AAPL,AMZN,TSLA,NVDA,GOOG,GOOGL,FB,ADBE,NFLX,MSRPortfolio,GMVPortfolio,EqualPortfolio
2020-11-18,,,,,,,,,,,0.0,0.0,0.0
2020-11-19,0.0063483363426559,0.0051681133556493,0.0037224949428351,0.0259534226752808,0.0008564029978281,0.0098123488449843,0.0103007691685177,0.0035665735060241,0.0151043658669676,0.0059777163208047,0.008074392598999563,0.008296094226593437,0.00868105440215476
2020-11-20,-0.0095565701506855,-0.0109575454585253,-0.0056528729000591,-0.0193482568807075,-0.0262273149808148,-0.0123192108814201,-0.0126181736759876,-0.0118707040970856,-0.0074826675458702,0.0073657888960421,-0.015096776897287433,-0.011015999588233665,-0.010866752767511362
2020-11-23,-0.001330873876101,-0.029742529839039,-0.0003258724372251,0.0658483118966619,0.0039923076121135,-0.0042073231095529,-0.0050795021680752,-0.004709006093778,-0.004990123423331,-0.0237997608512157,0.0016580674803185781,-0.003647132756073166,-0.00043443722895424963
2020-11-24,0.0178477981342455,0.0115941995171946,0.0063485121883593,0.0642522382716368,-0.0138699182282139,0.0196096631971138,0.0210354278629454,0.0316284328182356,0.0045375199584525,0.0131341741128589,0.014811075053112062,0.018195435424065157,0.017611804783282854
2020-11-25,4.6820670117186935e-05,0.0074671455581083,0.0214909295305527,0.0335265850991521,0.0213771752285223,0.0014416178558138,0.0001303821060552,-0.0048028923066676,0.0159498050758641,0.0043903143183574,0.00903995700466733,0.003473141135998404,0.010101788313587549
2020-11-27,0.0063588792874351,0.004826295999577,0.0032244251400248,0.0204878222996514,0.0020023200060672,0.012283796896674,0.0129752427174436,0.0080554520563946,0.0147847434313341,0.0131133711340205,0.009230574649200959,0.009432404601508017,0.009811234896862232
2020-11-30,-0.0053893876035807,0.0210996804755541,-0.0085437068506493,-0.0310025158596948,0.0105759051547842,-0.0180962151627416,-0.0182538503401881,-0.0030236384797064,0.0030186822694981,-0.0013431557720353,-0.007280087452933505,-0.008915968113660406,-0.005095820216875981
2020-12-01,0.0099966792666457,0.0308273843823279,0.0164265723789358,0.0302326193192086,-0.000858249051971,0.0212183435442958,0.0233469906746877,0.0345885365397387,0.0014211820983107,0.0282860702273632,0.016646012225093914,0.01775332248741861,0.01954861293795431
2020-12-02,-0.0038852166798644,0.0029335786783715,-0.0051396389527924,-0.0272590511105571,0.0115386592231854,0.0166008427776098,0.0164925063760958,0.0033851022181861,0.0044036648782677,-0.0023781799336406,0.006991128777053498,0.0054891704806925784,0.0016692267474861802
2020-12-03,-0.0052466825745334,-0.0011375514376975,-0.0052442302235088,0.0431770994299782,-0.0106715273671676,-0.0006454941500748,-0.0017150994535459,-0.0197203089069399,0.0062751712946187,-0.01164133644919,-0.0011473143875589985,-0.0021603976491630854,-0.0006569959838060998
2020-12-04,0.0005601044265388,-0.0056124582089488,-0.0075782705631055,0.0095385300352344,0.0121116682391611,0.0006678290023611,0.001053903765332,-0.0076281495626435,0.0035516663986778,0.0015878939891196,0.003352868181178243,0.0002854213263441506,0.0008252717521727002
2020-12-07,-0.0003266468115116,0.0122699754093336,-0.0014482093376418,0.0713141586019487,0.003577142244552,-0.0046553920133883,-0.0036901680939916,0.0210224338495916,0.0128600823045268,0.035058560073282,0.007112354976905926,0.0020451035244723956,0.01459819362267014
